starting_name,family_TNRS,current_name,infra_taxa,name_source,in_Yosemite_list,outcome,broader,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,notes
Pinus contorta subsp. murrayana,Pinaceae,Pinus contorta,,CCH_synonym,TRUE,,2.gymnosperm,16,14,1864,"Brewer, William Henry",1987,
Pinus contorta var. latifolia,Pinaceae,Pinus contorta,,TNRS_synonym,TRUE,,2.gymnosperm,1,1,1939,"Wiggins, Ira L.",1939,
Pinus contorta var. murrayana,Pinaceae,Pinus contorta,,CCH_synonym,TRUE,,2.gymnosperm,11,9,1888,"Congdon, Joseph Whipple",1967,
Pinus murrayana,Pinaceae,Pinus contorta,,CCH_synonym,TRUE,,2.gymnosperm,2,1,1921,"Peirson, Frank W.",1921,
Pinus flexilis,Pinaceae,Pinus flexilis,,CCH_synonym,TRUE,,2.gymnosperm,2,1,1939,"Wiggins, Ira L.",1940,
Pinus jeffreyi,Pinaceae,Pinus jeffreyi,,CCH_synonym,TRUE,,2.gymnosperm,7,3,1866,State Survey,1944,
Pinus lambertiana,Pinaceae,Pinus lambertiana,,CCH_synonym,TRUE,,2.gymnosperm,11,7,1880,"Munguia, Lisa",1978,
Pinus monophylla,Pinaceae,Pinus monophylla,,CCH_synonym,TRUE,,2.gymnosperm,4,3,1909,Gleason,1936,
Pinus monticola,Pinaceae,Pinus monticola,,CCH_synonym,TRUE,,2.gymnosperm,19,15,1894,"Dudley, William R.",1971,
Pinus ponderosa,Pinaceae,Pinus ponderosa,,CCH_synonym,TRUE,,2.gymnosperm,9,5,1896,"Clarke, Galen",1967,
Pinus sabiniana,Pinaceae,Pinus sabiniana,,CCH_synonym,TRUE,,2.gymnosperm,2,1,1914,"Perkins, Albert J.",1944,
Pseudotsuga menziesii,Pinaceae,Pseudotsuga menziesii,,CCH_synonym,TRUE,,2.gymnosperm,13,7,1890,"Congdon, Joseph Whipple",1974,
Pseudotsuga menziesii var. menziesii,Pinaceae,Pseudotsuga menziesii,,CCH_synonym,TRUE,,2.gymnosperm,10,7,1875,"McLean, F. P.",1974,
Tsuga mertensiana,Pinaceae,Tsuga mertensiana,,CCH_synonym,TRUE,,2.gymnosperm,25,16,1890,"Congdon, Joseph Whipple",1963,
Tsuga mertensiana subsp. grandicona,Pinaceae,Tsuga mertensiana,,CCH_synonym,TRUE,,2.gymnosperm,7,,1901,"Dudley, William R.",1963,
Taxus brevifolia,Taxaceae,Taxus brevifolia,,CCH_synonym,TRUE,,2.gymnosperm,2,2,1874,"Lemmon, John G.",1874,
Torreya californica,Taxaceae,Torreya californica,,CCH_synonym,TRUE,,2.gymnosperm,20,12,1883,"Congdon, Joseph Whipple",1969,
Amaranthus albus,Amaranthaceae,Amaranthus albus,,CCH_synonym,TRUE,,3.dicot,3,3,1998,"Jelinek, Bradley",2010,
Amaranthus blitoides,Amaranthaceae,Amaranthus blitoides,,CCH_synonym,TRUE,,3.dicot,2,1,1911,"Hall, Harvey Monroe",1997,
Amaranthus retroflexus,Amaranthaceae,Amaranthus retroflexus,,iNat_synonym,,,3.dicot,,,,,,
Blitum nuttallianum,Amaranthaceae,Blitum nuttallianum,,iNat_synonym,TRUE,,3.dicot,,,,,,
Monolepis nuttalliana,Amaranthaceae,Blitum nuttallianum,,iNat_synonym,TRUE,,3.dicot,,,,,,
Chenopodium album,Amaranthaceae,Chenopodium album,,CCH_synonym,TRUE,,3.dicot,7,6,1926,"Michael, Enid",2009,
Chenopodium atrovirens,Amaranthaceae,Chenopodium atrovirens,,CCH_synonym,TRUE,,3.dicot,3,2,1944,"Webber, Charles",2010,
Chenopodium desiccatum,Amaranthaceae,Chenopodium desiccatum,,CCH_synonym,FALSE,"add, new native",3.dicot,1,1,2009,"Smith, Sierra",2009,
Chenopodium fremontii,Amaranthaceae,Chenopodium fremontii,,CCH_synonym,FALSE,"add_but_omit, taxonomic_mismatch",3.dicot,1,,1890,"Congdon, Joseph Whipple",1890,
Chenopodium pratericola,Amaranthaceae,Chenopodium pratericola,,CCH_synonym,FALSE,"add, new native",3.dicot,1,1,2009,"Smith, Sierra",2009,
Chenopodium botrys,Amaranthaceae,Dysphania botrys,,CCH_synonym,TRUE,,3.dicot,5,5,1911,"Hall, Harvey Monroe",1998,
Dysphania botrys,Amaranthaceae,Dysphania botrys,,CCH_synonym,TRUE,,3.dicot,3,2,1957,"Sharsmith, Carl W.",2009,
Dysphania multifida,Amaranthaceae,Dysphania multifida,,Yos_scientific,,,3.dicot,,,,,,
Dysphania pumilio,Amaranthaceae,Dysphania pumilio,,Yos_scientific,,,3.dicot,,,,,,
Monolepis nuttalliana,Amaranthaceae,Monolepis nuttalliana,,CCH_synonym,TRUE,,3.dicot,3,3,1924,"Jepson, Willis L.",2010,
Monolepis spathulata,Amaranthaceae,Neomonolepis spathulata,,CCH_synonym,TRUE,,3.dicot,1,1,1944,"Howell, John Thomas",1944,
Rhus aromatica,Anacardiaceae,Rhus aromatica,,CCH_synonym,TRUE,"remove, vouchers outside Yosemite only",3.dicot,,,,,,
Rhus trilobata,Anacardiaceae,Rhus aromatica,,CCH_synonym,TRUE,,3.dicot,2,1,1933,"Purer, Edith A.",1944,
Rhus diversiloba,Anacardiaceae,Toxicodendron diversilobum,,CCH_synonym,TRUE,,3.dicot,4,3,1939,"Petrides, George A.",1944,
Toxicodendron diversilobum,Anacardiaceae,Toxicodendron diversilobum,,CCH_synonym,TRUE,,3.dicot,1,,2006,"Grossenbacher, Dena",2006,
Angelica arguta var. breweri,Apiaceae,Angelica breweri,x,CCH_synonym,FALSE,"add_but_omit, wrong ID",3.dicot,1,1,1933,"Purer, Edith A.",1933,
