accepted_name,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,parks_outcome,voucher_outcome,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,voucher_notes,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,summary,vouchers_with_coordinates,rand_check,reason_for_voucher_only,notes_about_vouchers,notes_for_parks_only,reason_for_iNat_only_v3,reason_for_iNat_only_v2,iNat_notes,range_from_iNat_or_Jepson,voucher_links,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,reason_for_parks_list,reason_for_iNat_only,first_record,last_record,voucher_count
Myriopteris gracillima,Myriopteris gracillima,current,Pteridaceae,1.ferns/primitive,Hemionitis gracillima,native,18,2,,1,1,1,1,1,1,1,1,,retain observation,"retain, synonym",retain voucher,36,22,1863,"Brewer, William Henry",2015,henicorhina,8/26/2009,velodrome,11/24/2023,2009,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,1863,1963,46
Myriopteris gracillima,Hemionitis gracillima,synonym,Pteridaceae,1.ferns/primitive,Myriopteris gracillima,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,henicorhina,8/26/2009,velodrome,11/24/2023,2009,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Myriopteris intertexta,Myriopteris intertexta,current,Pteridaceae,1.ferns/primitive,Hemionitis intertexta,native,8,6,,1,1,1,1,1,1,,1,,retain observation,"retain, synonym",retain voucher,8,4,1878,"Bradley, C. B.",1975,frondsinhighplaces,10/21/2009,coloradobeck,8/9/2023,2009,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,"Yosemite Valley, Arch Rock",,,,,,,,,,,,,,,1878,1975,8
Myriopteris intertexta,Hemionitis intertexta,synonym,Pteridaceae,1.ferns/primitive,Myriopteris intertexta,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,frondsinhighplaces,10/21/2009,coloradobeck,8/9/2023,2009,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Myriopteris myriophylla,Cheilanthes myriophylla,current,Pteridaceae,1.ferns/primitive,,N/A,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, taxonomic mismatch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pellaea andromedifolia,Pellaea andromedifolia,current,Pteridaceae,1.ferns/primitive,Hemionitis andromedifolia,native,7,,,1,1,1,1,1,1,,1,,retain observation,"retain, synonym",retain voucher,6,4,1944,"Sharsmith, Carl W.",1965,heathersmith,5/22/2016,maram,5/24/2023,2016,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,,,
Pellaea andromedifolia,Hemionitis andromedifolia,synonym,Pteridaceae,1.ferns/primitive,Pellaea andromedifolia,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,heathersmith,5/22/2016,maram,5/24/2023,2016,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Pellaea breweri,Pellaea breweri,current,Pteridaceae,1.ferns/primitive,Hemionitis breweri,native,4,,,1,1,1,1,1,1,1,1,,retain observation,"retain, synonym",retain voucher,27,13,1866,"Rattan, Volney",2005,arkstorm,6/3/2021,silversea_starsong,10/7/2023,2021,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,1876,2005,26
Pellaea breweri,Hemionitis breweri,synonym,Pteridaceae,1.ferns/primitive,Pellaea breweri,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,arkstorm,6/3/2021,silversea_starsong,10/7/2023,2021,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Pellaea bridgesii,Pellaea bridgesii,current,Pteridaceae,1.ferns/primitive,Hemionitis bridgesii,native,91,2,,1,1,1,1,1,1,1,1,,retain observation,"retain, synonym",retain voucher,72,46,1863,"Brewer, William Henry",2005,barbaraparris,12/20/1981,kristymorrow,10/31/2023,1981,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,,,
Pellaea bridgesii,Hemionitis bridgesii,synonym,Pteridaceae,1.ferns/primitive,Pellaea bridgesii,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,barbaraparris,12/20/1981,kristymorrow,10/31/2023,1981,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Pellaea glaciogena,Pellaea glaciogena,current,Pteridaceae,1.ferns/primitive,,native,,,,,,,1,,1,1,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",8,5,1878,"Bradley, C. B.",2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pellaea mucronata,Pellaea atropurpurea,synonym,Pteridaceae,1.ferns/primitive,Pellaea mucronata,out-of-range,,,,1,,synonym,synonym,synonym,synonym,synonym,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, duplicate synonym",,,,,,barbaraparris,12/19/1981,zihanwei,2/13/2024,1981,2024,,,,,,disagree_with_has_voucher&parks_list,,v_1,wrong_ID,"no CCH2 vouchers; 5 gbif, 4 from Academy of Natural Sciences of Drexel University , 1 from Tennessee - in gbif resolve to Pellaea mucronata",,,,,"East Coast species, with furtherest extent central Arizona",,,,,,,1878,1938,5
Pellaea mucronata,Pellaea brachyptera,misapplied,Pteridaceae,1.ferns/primitive,misapplied to Pellaea mucronata,out-of-range,,,,1,,misapplied,misapplied,misapplied,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, misapplied name",,,,,,barbaraparris,12/19/1981,zihanwei,2/13/2024,1981,2024,,,,,,disagree_with_has_voucher&parks_list,"Yosemite Valley, Hetch Hetchy",v_2,taxonomic_mismatch-misapplied,"iNat: Coast and mountains north of Tahoe; CCH: 3 old vouchers (1929 Tenaya Lake Trail, 1915 Vernal Falls, 1940 north Hetch Hetchy Dam); Taylor: name misapplied to Pellaea mucronata individuals",,,,,,,,,taxonomic_mismatch-misapplied,,,1915,1940,3
Pellaea mucronata,Pellaea mucronata,current,Pteridaceae,1.ferns/primitive,Hemionitis mucronata,native,95,3,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,53,27,1869,"Hooker, J. D.",1971,barbaraparris,12/19/1981,zihanwei,2/13/2024,1981,2024,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Pellaea mucronata,Hemionitis mucronata,synonym,Pteridaceae,1.ferns/primitive,Pellaea mucronata,native,,,1,,,synonym,synonym,synonym,1,,,,XX-synonym other list,"remove, duplicate synonym",XX-synonym other list,,,,,,barbaraparris,12/19/1981,zihanwei,2/13/2024,1981,2024,,,,,,synonym_from_GBIF_being_kept [[parks duplicate]],,pl_1,,,on park list as both old and new name,,,,,,,,,synonym,,,,
Pellaea truncata,Pellaea truncata,current,Pteridaceae,1.ferns/primitive,Hemionitis truncata (2018 name),native,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",,,,,,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_coordinates,"only CCH voucher, Heller 1908, El Portal; not in Taylor; gbif, from Natural History Museum London, labeled ""Mariposa; Nearest Named Place: Sierra Nevada "" - with coordinates near Harriet Lake!; iNat: Arizona and surrounding deserts",,,,,,,,,,,,,,
Pentagramma pallida,Pentagramma pallida,current,Pteridaceae,1.ferns/primitive,Hemionitis pallida,native,,,,1,,1,1,,1,,1,,"not in iNat, but occurs in park","retain, synonym",retain voucher,3,1,1946,"Keck, David D.",1958,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym,,v_1,correct-old_vouchers_only,"vouchers on Old Coulterville Road, near Arch Rock, Hetch Hetchy, all pre-1958",,,,,"Sierra foothills, extending to well documented population around El Portal",,,,,,,1946,1958,4
Pentagramma pallida,Hemionitis pallida,synonym,Pteridaceae,1.ferns/primitive,Pentagramma pallida,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,,,,,,,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Pentagramma triangularis,Pentagramma triangularis,current,Pteridaceae,1.ferns/primitive,Hemionitis triangularis (2018 name),native,21,9,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,16,4,1875,"McLean, F. P.",2001,greenrosettas,4/12/2014,velodrome,11/24/2023,2014,2023,2001 in gbif,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,"Yosemite Valley, Arch Rock",,,,,,,,,,,,,,,1875,1965,12
Azolla filiculoides,Azolla filiculoides,current,Salviniaceae,1.ferns/primitive,,N/A,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",,,,,,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_coordinates,"part of collection labels ""gift CNPS southern Sierra Foothills and San Joaquin Valley specimens 2008 (received April 2020); perennial "", elevation 268 meters, and just Mariposa County.; in Taylor - much lower elevation",,,,,,,,,,,,N/A,N/A,0
Selaginella bigelovii,Selaginella bigelovii,current,Selaginellaceae,1.ferns/primitive,,N/A,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, taxonomic mismatch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selaginella wallacei,Selaginella wallacei,current,Selaginellaceae,1.ferns/primitive,,N/A,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, taxonomic mismatch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodsia oregana,Woodsia oregana,current,Woodsiaceae,1.ferns/primitive,,out-of-range,,,1,,,,,,,,,,"XX-not in iNat, not in park","remove, range far from park","XX-no voucher, not in park",,,,,,,,,,,,,,in Symbiota,,,disagree_with_park_list,,pl_1,,,CCH: no vouchers in park (2 well to west); iNat: all observations east of crest; Taylor: no mention,,,,,,,,,"wrong range-Tahoe, eastern Sierra, 1 voucher along Stansilaus River",,N/A,N/A,0
Woodsia scopulina,Woodsia scopulina,current,Woodsiaceae,1.ferns/primitive,Physematium scopulinum,native,,1,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",23,10,1866,"Bolander, Henry Nicholas",2005,,,,,,,,,in Symbiota,,iNat/gbif use diff names,agree_with_park_list&YES_vouchers_exist,,,correct-old&recent_vouchers,,,,,,,,,,,,,1883,2005,22
Woodsia scopulina,Physematium scopulinum,current,Woodsiaceae,1.ferns/primitive,Woodsia scopulina,native,,,,1,,synonym,synonym,synonym,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, duplicate synonym",,,,,,,,,,,,,,,,,agree_with_has_voucher&YES_on_park_list_under_synonym,,v_2,taxonomic_mismatch-renaming in progress,"synonym - different name in CCH/gbif vs iNat, park",,,,,,,,,,synonym-duplicate half implemented,,N/A,N/A,0
Selaginella hansenii,Selaginella hansenii,current,Selaginellaceae,1.ferns/primitive,,native,16,6,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,15,6,1902,"Bacon, Mrs. D. G.",2009,frondsinhighplaces,10/23/2009,zihanwei,2/13/2024,2009,2024,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,"Hetch Hetchy, Yosemite Valley",,,,,,,,,,,,,,,1902,2009,17
Selaginella watsonii,Selaginella watsonii,current,Selaginellaceae,1.ferns/primitive,,native,29,3,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,41,25,1907,"Ware, Robert A.",2005,martine_lapointe,9/16/2008,silversea_starsong,10/7/2023,2008,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Calocedrus decurrens,Calocedrus decurrens,current,Cupressaceae,2.gymnosperm,,native,473,123,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,42,28,1869,"Canby, William M.",2019,stjohnw,5/3/2007,brookshooks,2/12/2024,2007,2024,2019 in gbif,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Cupressus macrocarpa,Hesperocyparis macrocarpa,current,Cupressaceae,2.gymnosperm,,N/A,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus communis,Juniperus communis,current,Cupressaceae,2.gymnosperm,,native,4,,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,9,8,1933,"McMinn, H. E.",2005,leef,9/10/2018,kees_hood,8/3/2022,2018,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,1933,2005,8
Juniperus grandis,Juniperus grandis,current,Cupressaceae,2.gymnosperm,Juniperus occidentalis,native,179,44,,1,1,1,1,1,1,1,1,,retain observation,"retain, synonym",retain voucher,38,20,1865,"Torrey, John",2001,tsirtalis,9/20/2001,julien9uwr,10/24/2023,2001,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,1896,1969,6
Juniperus grandis,Juniperus occidentalis,synonym,Cupressaceae,2.gymnosperm,Juniperus grandis,native,,,1,,,synonym,synonym,synonym,1,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,tsirtalis,9/20/2001,julien9uwr,10/24/2023,2001,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Juniperus osteosperma,Juniperus osteosperma,current,Cupressaceae,2.gymnosperm,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"either a misID of eg J. grandis, or a planted specimen (from along carpark)",,,,,,,
Sequoiadendron giganteum,Sequoiadendron giganteum,current,Cupressaceae,2.gymnosperm,,native,1082,40,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,38,22,1880,"Cleveland, Daniel",1987,rolandwirth,4/10/1988,gabe_schp,2/10/2024,1988,2024,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,sequoia groves,,,,,,,,,,,,,,,1880,1987,37
Ephedra viridis,Ephedra viridis,current,Ephedraceae,2.gymnosperm,,N/A,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies concolor,Abies concolor,current,Pinaceae,2.gymnosperm,,native,134,60,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,39,29,1882,"Congdon, Joseph Whipple",1981,charadrius,7/20/2006,naturewithnevett,2/3/2024,2006,2024,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,1882,1981,30
Abies magnifica,Abies magnifica,current,Pinaceae,2.gymnosperm,,native,56,50,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,23,13,1876,"Lemmon, John G.",1973,charadrius,6/11/2008,dexterbanjo,12/31/2023,2008,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,"montane, subalpine",,,,,,,,,,,,,,,1888,1973,22
Pinus albicaulis,Pinus albicaulis,current,Pinaceae,2.gymnosperm,,native,40,47,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,21,17,1898,"Congdon, Joseph Whipple",1972,spifferella,6/13/2010,mitchm44,8/25/2023,2010,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,1898,1969,20
Pinus aristata,Pinus aristata,current,Pinaceae,2.gymnosperm,Pinus balfouriana subsp. aristata,out-of-range,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, mis-identification",,,,,,,,,,,,gbif_vouchers_only,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_ID,"Current species is just found in Four Corners area; CCH: no vouchers; gbif: 1 1962 voucher clearly labeled as Yosemite, from Carnegie Museum - simply wrong",,,,,Rocky Mtn species - no iNat observations in California or Basin and Range,https://www.gbif.org/occurrence/2859295664,,,,,,1962,1962,1
Pinus attenuata,Pinus attenuata,current,Pinaceae,2.gymnosperm,,native,3,8,1,1,1,1,1,1,,1,1,,retain observation,retain on list,retain voucher,2,2,2009,"Taylor, Dean William",2009,dpom,6/1/2014,rangerwild,7/7/2022,2014,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,2009,2009,1
Pinus contorta,Pinus contorta,current,Pinaceae,2.gymnosperm,,native,176,12,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,30,22,1864,"Brewer, William Henry",1987,charadrius,7/21/2006,kristymorrow,11/1/2023,2006,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Pinus flexilis,Pinus flexilis,current,Pinaceae,2.gymnosperm,,out-of-range,,,,1,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, mis-identification",2,1,1939,"Wiggins, Ira L.",1940,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_ID,specimen duplicates all say Pinus contorta,,,,,"east side species, also on west further south",https://www.cch2.org/portal/collections/individual/index.php?occid=5106130&clid=0,,,,,,1939,1940,2
Pinus jeffreyi,Pinus jeffreyi,current,Pinaceae,2.gymnosperm,,native,46,168,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,9,6,1866,State Survey,1962,normherr,12/30/1975,charlescrussell,9/28/2023,1975,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Pinus lambertiana,Pinus lambertiana,current,Pinaceae,2.gymnosperm,,native,130,78,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,15,11,1880,"Munguia, Lisa",1978,stjohnw,5/3/2007,jzupan,11/5/2023,2007,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Pinus monophylla,Pinus monophylla,current,Pinaceae,2.gymnosperm,,native,,,1,1,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,retain voucher,5,4,1909,Gleason,1962,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old_vouchers_only,"5 CCH2 vouchers, including 2 in YM; but all pre-1935",,,,,"east side only - if it existed over the crest, it would be known!; so sloppy locality or different species",https://www.gbif.org/occurrence/2859297632,,,,,,1909,1936,3
Pinus monticola,Pinus monticola,current,Pinaceae,2.gymnosperm,,native,37,34,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,18,15,1894,"Dudley, William R.",1971,charadrius,8/10/2009,echocreek,10/12/2023,2009,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,1894,1971,23
Pinus mugo,Pinus mugo,current,Pinaceae,2.gymnosperm,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from two years ago (species no longer suggested by CV for this observation)",,,,,,,
Pinus ponderosa,Pinus ponderosa,current,Pinaceae,2.gymnosperm,,native,134,116,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,9,5,1896,"Clarke, Galen",1967,joescience1,2/19/2007,plbuttercup,11/23/2023,2007,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,"Yosemite Valley, lower montane",,,,,,,,,,,,,,,1896,1967,8
Pinus sabiniana,Pinus sabiniana,current,Pinaceae,2.gymnosperm,,native,30,5,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,2,1,1914,"Perkins, Albert J.",1944,mazer,4/3/2009,sea-kangaroo,10/31/2023,2009,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Pseudotsuga menziesii,Pseudotsuga menziesii,current,Pinaceae,2.gymnosperm,,native,132,17,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,26,18,1869,"Canby, William M.",1974,jonathanwitkop,6/6/2013,lpaterson,11/11/2023,2013,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Tsuga mertensiana,Tsuga mertensiana,current,Pinaceae,2.gymnosperm,,native,103,3,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,30,16,1890,"Congdon, Joseph Whipple",1963,charadrius,7/21/2006,susanhschwartz,11/2/2023,2006,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Taxus brevifolia,Taxus brevifolia,current,Taxaceae,2.gymnosperm,,native,,,,1,,,1,,1,,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park",retain voucher,3,3,1874,"Lemmon, John G.",1874,,,,,,,,,,,,agree_with_has_voucher&NOT_on_park_list,,v_2,correct-old_vouchers_only - possibly extripated,"Taylor indicates no conclusive evidence species was ever in Yosemite, but mentioned in multiple early references",,,,,,,,,,,,1874,1874,1
Torreya californica,Torreya californica,current,Taxaceae,2.gymnosperm,,native,24,4,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,23,15,1870,"Hutchings, J. M.",1987,jpr2,6/8/2007,kristymorrow,1/27/2024,2007,2024,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,1883,1972,19
Liquidambar styraciflua,Liquidambar styraciflua,current,Altingiaceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from more than a year ago (species no longer suggested by CV for this observation)",,,,,,,
Amaranthus albus,Amaranthus albus,current,Amaranthaceae,3.dicot,,introduced,,1,1,1,,1,1,,,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,3,3,1998,"Jelinek, Bradley",2010,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-recent_vouchers_only,,,,,,,,,,,,,1998,2010,3
Amaranthus blitoides,Amaranthus blitoides,current,Amaranthaceae,3.dicot,,native,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",2,1,1911,"Hall, Harvey Monroe",1997,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,,pl_1,,,Taylor: Yosemite Valley voucher,,,,,,,,,vouchers not in database-old&recent vouchers,,1911,1997,2
Amaranthus californicus,Amaranthus californicus,current,Amaranthaceae,3.dicot,,native,,,1,,,,,,,,,,"XX-not in iNat, not in park","remove, range far from park","XX-no voucher, not in park",,,,,,,,,,,,,,,,,disagree_with_park_list,,pl_1,,,"Taylor: no vouchers from park, much lower elevation; iNat: no nearby observations",,,,,,,,,wrong range-Coast Range,,N/A,N/A,0
Amaranthus retroflexus,Amaranthus retroflexus,current,Amaranthaceae,3.dicot,,introduced,1,,,,1,,,1,,,1,,"retain, new weed record","not on parks list, but occurs in park","XX-rejected voucher, but exists in park",,,,,,,,,,,,,,,,,new_iNat_find,,,,,,human-aided introduction,new weed record,"everything looks valid - observer, 2nd identifier both valid; location valid; but no other nearby occurrences",,,,,,,new weed record,1890,1890,1
Atriplex polycarpa,Atriplex polycarpa,current,Amaranthaceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from four years ago (species no longer suggested by CV for this observation)",,,,,,,
Bassia scoparia,Bassia scoparia,current,Amaranthaceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from four years ago (species no longer suggested by CV for this observation)",,,,,,,
Chenopodium album,Chenopodium album,current,Amaranthaceae,3.dicot,,introduced,,5,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,7,6,1926,"Michael, Enid",2009,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,1926,2009,7
Chenopodium atrovirens,Chenopodium atrovirens,current,Amaranthaceae,3.dicot,,native,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",3,2,1944,"Webber, Charles",2010,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Tuolumne, eastern boundary",pl_1,,,"Taylor: voucher from Mono Pass cabins, Dana, Tenaya Lake",,,,,,,,,vouchers not in database-old&recent vouchers,,1944,2007,3
