accepted_name,family,broader,establishment_means,taxonID,park_list,voucher_exists,iNat_RG_record_exists
Artemisia tridentata,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75598,1,1,1
Askellia pygmaea,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/738531,1,,
Baccharis pilularis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/53359,1,,
Balsamorhiza deltoidea,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/70383,1,1,
Balsamorhiza macrolepis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/69665,1,1,
Balsamorhiza sagittata,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/62266,1,1,1
Bellis perennis,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/55563,,1,1
Bidens cernua,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75765,1,1,
Bidens tripartita,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/75767,1,1,
Brickellia californica,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/58803,1,1,1
Brickellia grandiflora,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75874,1,1,1
Calycadenia mollis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75951,1,1,1
Calycadenia multiglandulosa,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/56863,1,1,1
Carduus pycnocephalus,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/52990,1,1,
Centaurea benedicta,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/76208,1,1,
Centaurea cyanus,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/933404,1,,1
Centaurea melitensis,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/57922,1,1,
Centaurea solstitialis,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/52588,1,1,1
Centaurea stoebe,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/76214,,1,
Chaenactis alpigena,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76227,1,1,1
